"mention_name","mention_type","mention_popularity","mention_address","zip_code","mention_longitude","mention_latitude","no_of_blogFiles","mention_found_in_blogFiles"
"sepulveda blvd.","primary","1","""Sepulveda Boulevard, Encino, LA, Los Angeles County, California, 90049, United States of America""","90049","-118.4825211","34.1172036","1","beverly hills_and_long beach.json"
"sepulveda boulevard","primary","3","""Sepulveda Boulevard, Encino, LA, Los Angeles County, California, 90049, United States of America""","90049","-118.4825211","34.1172036","21","""beverly hills_and_santa ana.json,huntington beach_and_monterey.json,huntington beach_and_san francisco.json,huntington beach_and_santa cruz.json,huntington beach_and_santa monica.json,huntington beach_and_stockton.json,huntington beach_and_malibu.json,long beach_and_santa monica.json,long beach_and_los angeles.json,los angeles_and_santa ana.json,los angeles_and_santa clarita.json,los angeles_and_santa monica.json,malibu_and_newport beach.json,malibu_and_santa ana.json,monterey_and_newport beach.json,newport beach_and_santa cruz.json,pasadena_and_santa ana.json,pasadena_and_santa clarita.json,pasadena_and_santa monica.json,santa ana_and_santa monica.json,santa clarita_and_santa monica.json"""
"sequoia","hamlet","6","""Sequoia, Tuolumne County, California, United States of America""","","-119.8954574","37.8065921","10","""bakersfield_and_carlsbad.json,beverly hills_and_monterey.json,beverly hills_and_napa.json,fresno_and_huntington beach.json,fresno_and_irvine.json,fresno_and_los angeles.json,monterey_and_temecula.json,napa_and_pismo beach.json,san francisco_and_temecula.json,san jose_and_temecula.json"""
"sequoia national forest","national_park","1","""Sequoia National Forest, Chanell, Kern County, California, 93238, United States of America""","93238","-118.407510546279","35.81102455","1","fresno_and_irvine.json"
"sequoia national park","national_park","23","""Sequoia National Park, Black Rock Pass Trail, Mineral King, Tulare County, California, United States of America""","","-118.559919284386","36.49584065","98","""anaheim_and_fresno.json,anaheim_and_mammoth lakes.json,anaheim_and_san jose.json,anaheim_and_sausalito.json,avalon_and_bakersfield.json,avalon_and_napa.json,avalon_and_oakland.json,avalon_and_sacramento.json,anaheim_and_napa.json,bakersfield_and_san bernardino.json,avalon_and_sausalito.json,bakersfield_and_carlsbad.json,bakersfield_and_fremont.json,bakersfield_and_fresno.json,bakersfield_and_irvine.json,bakersfield_and_long beach.json,bakersfield_and_mammoth lakes.json,bakersfield_and_monterey.json,bakersfield_and_napa.json,bakersfield_and_oakland.json,bakersfield_and_pismo beach.json,bakersfield_and_riverside.json,bakersfield_and_sacramento.json,bakersfield_and_san diego.json,bakersfield_and_san francisco.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,bakersfield_and_temecula.json,berkeley_and_riverside.json,beverly hills_and_monterey.json,beverly hills_and_napa.json,big bear lake_and_sausalito.json,big bear lake_and_stockton.json,carlsbad_and_fresno.json,carlsbad_and_oakland.json,carlsbad_and_sacramento.json,carlsbad_and_stockton.json,fresno_and_irvine.json,fresno_and_los angeles.json,fresno_and_mammoth lakes.json,fresno_and_monterey.json,fresno_and_napa.json,fresno_and_oakland.json,fresno_and_sacramento.json,fresno_and_san bernardino.json,fresno_and_san diego.json,fresno_and_san francisco.json,fresno_and_san jose.json,fresno_and_santa monica.json,fresno_and_stockton.json,fresno_and_temecula.json,huntington beach_and_sacramento.json,huntington beach_and_sausalito.json,irvine_and_napa.json,irvine_and_sacramento.json,irvine_and_sausalito.json,fresno_and_riverside.json,long beach_and_oakland.json,long beach_and_stockton.json,long beach_and_mammoth lakes.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,malibu_and_sausalito.json,mammoth lakes_and_oakland.json,malibu_and_mammoth lakes.json,mammoth lakes_and_riverside.json,mammoth lakes_and_san diego.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa cruz.json,mammoth lakes_and_santa monica.json,mammoth lakes_and_temecula.json,monterey_and_san bernardino.json,monterey_and_temecula.json,napa_and_pismo beach.json,mammoth lakes_and_pismo beach.json,mammoth lakes_and_sausalito.json,oakland_and_san bernardino.json,oakland_and_santa clarita.json,pasadena_and_sausalito.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_santa cruz.json,riverside_and_sausalito.json,riverside_and_stockton.json,sacramento_and_santa clarita.json,san bernardino_and_san jose.json,san bernardino_and_sausalito.json,san diego_and_sausalito.json,san francisco_and_santa clarita.json,san francisco_and_temecula.json,sacramento_and_san bernardino.json,newport beach_and_sausalito.json,san bernardino_and_stockton.json,santa clarita_and_sausalito.json,san jose_and_temecula.json,san luis obispo_and_sausalito.json,santa monica_and_sausalito.json,stockton_and_temecula.json"""
"sequoia park","park","1","""Sequoia Park, Duck Street, Eureka, Humboldt County, California, 95503, United States of America""","95503","-124.148538848818","40.77630545","1","anaheim_and_sacramento.json"
"sequoia shuttle","bus_stop","1","""Sequoia Shuttle, Sherman Tree Trail, Pinewood, Tulare County, California, 93262, United States of America""","93262","-118.7497587","36.5848415","1","fresno_and_san diego.json"
"seraphina road","tertiary","1","""Seraphina Road, Avondale, Nicolas Valley, Temecula, Riverside County, California, 92591, United States of America""","92591","-117.1211377","33.5438866","5","""bakersfield_and_santa monica.json,beverly hills_and_san bernardino.json,huntington beach_and_san bernardino.json,huntington beach_and_santa clarita.json,huntington beach_and_temecula.json"""
"serengeti","residential","1","""Serengeti Drive, Tenaja, Riverside County, California, United States of America""","","-117.3384819","33.487945","1","santa ana_and_sausalito.json"
"serfas club drive","secondary","1","""Serfas Club Drive, Eastvale, Riverside County, California, 92882, United States of America""","92882","-117.6148918","33.8777357","8","""bakersfield_and_santa monica.json,beverly hills_and_huntington beach.json,beverly hills_and_newport beach.json,beverly hills_and_san bernardino.json,huntington beach_and_san bernardino.json,huntington beach_and_santa clarita.json,huntington beach_and_santa monica.json,huntington beach_and_temecula.json"""
